DC,Connected Server,Application,Server Type,Application Owners,App Environment
LVDC-EMS,ARQFRLSQL01.ARQF.local,Relativity,DECOM,,Send decom request to ServerOps
DQS,E061PRTSQLS01.dqscust.local\PORTAL,EpiqService,NONPROD,Craig Brass, 
TUDC,EBIVM01.dpo.net,Billing,PROD-DECOM,Ben Fay,To be decom'd in 1- 2 years
TUDC,ebivm02.dpo.net,Billing,PROD-DECOM,Ben Fay,To be decom'd in 1- 2 years
LVDC-Corp,F054EDWSISS01.AMER.EPIQCORP.COM,ECAR,NONPROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,F054EDWSQLS01.AMER.EPIQCORP.COM,ECAR,NONPROD,DL_ECADataServicesManagement@epiqglobal.com, 
DQS,F061ACRSQLS01.dqscust.local\AACER02,AACER,NONPROD,AACEROperations@epiqglobal.com, 
DQS,F061CTXSQLS01.dqscust.local\CITRIXQAF,Citrix,NONPROD, , 
LVDC-Corp,F061EBSRPTB01.AMER.EPIQCORP.COM\EBSSSRS,Bankruptcy,NONPROD,EBS-ProdDevTeam@epiqglobal.com, 
DQS,F061ECASQLG01.dqscust.local\ECASWQA,Claims Matrix,DECOM,DL_ECADataServicesManagement@epiqglobal.com, 
DQS,F061ECASQLH01.dqscust.local\ECASWQA,Claims Matrix,DECOM,DL_ECADataServicesManagement@epiqglobal.com, 
TKDC,P053EQZSQL01.apcust.local\EQZPROD,EquivioZoom,DECOM,BAEBusinessAppE@epiqglobal.com,RITM0126142
TUDC,P077RL1OSQL01.client.dtiglobal.com\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Relativity49 (DTISEA09|Seattle)/ Rel 49/ DIST01
DQS,Q061SQLCI0801.dqscust.local\EDMX,DMX,DECOM,DMX-Support@epiqglobal.com, 
LVDC-USCUST,P054SQLCI6101.USCUST.LOCAL\AACER01,AACER,PROD,AACEROperations@epiqglobal.com,Main Prodution
LVDC-Corp,P054SQLCI3101.AMER.EPIQCORP.COM\EBS01,Bankruptcy,PROD,EBS-ProdDevTeam@epiqglobal.com, 
LVDC-USCUST,P054SQLCI5101.USCUST.LOCAL\TNET,Tnet,PROD, , 
LVDC-Corp,ET008-IFSEC01.EURO.EPIQCORP.COM\BSSERVER,Unknown,PROD, ,RITM0154765
LVDC-USCUST,P054ACRSQLS04.USCUST.LOCAL\AACERARCHIVE,AACER,PROD,AACEROperations@epiqglobal.com,Archive
LVDC-Corp,P054SQLCI0801.EPIQCORP.COM\SQLSENTRY,SentryOne,DECOM, , 
LVDC-USCUST,P054ACRSQLS03.USCUST.LOCAL\AACER03,AACER,PROD,AACEROperations@epiqglobal.com,Secondary
LVDC-EMS,ARQFRLSQL02.ARQF.local ,Relativity,DECOM,,Send decom request to ServerOps
LVDC-EMS,DM11NXLPSQL01.dm11.local,NEXLP,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-EMS,DM12RLTVSQL01.DM12.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Stinson02/ DM12/ PRIMARY
LVDC-EMS,DM12RLTVSQL02.DM12.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Stinson02/ DM12/ INVARIANT
LVDC-EMS,DM12RLTVSQL03.DM12.LOCAL,Relativity,Prod,BAEBusinessAppE@epiqglobal.com,DM12/Nexlp
LVDC-EMS,DM14RLTVINVSQL01.DM14.LOCAL,Relativity,PROD,,
LVDC-EMS,DM16INVSQL01.DM16.LOCAL,Relativity,PROD-DECOM,RTTRelativityTe@epiqglobal.com,Plunkett01/ DM16/ INVARIANT
LVDC-EMS,DM16RLTVSQL01.DM16.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Plunkett01/ DM16/ PRIMARY
LVDC-EMS,DM18LAWSQL01.DM18.LOCAL,LAW,DECOM,BAEBusinessAppE@epiqglobal.com, 
LVDC-EMS,DM18RLTVSQL01.DM18.LOCAL,Relativity,PROD, , 
LVDC-EMS,DM18RLTVSQL02.DM18.LOCAL,Relativity,PROD, , 
LVDC-EMS,DM1NLPSQLS01.RLTV.LOCAL\NEXLP,NexLP,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-CORP,CA003-EQDBA02.amer.EPIQCORP.COM,Claims Matrix,Decom,,
LVDC-EMS,DM1RLTVSQL09.RLTV.LOCAL,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,Decom per CHG0068279
LVDC-EMS,DM20RLTVINVSQL1.DM20.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com,FOXROTHSCHILD01/ DM20/ INVARIANT
LVDC-EMS,DM20RLTVSQL01.DM20.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com,FOXROTHSCHILD01/ DM20/ PRIMARY
LVDC-EMS,DM20RLTVSQL02.DM20.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com,FOXROTHSCHILD01/ DM20/ DISTRIBUTED
LVDC-EMS,DM20RLTVSQL03.DM20.LOCAL,Relativity,PROD, ,DM 20
LVDC-EMS,DM21INVSQL01.DM21.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Lathrop01/ DM21/ INVARIANT
LVDC-Corp,CA003-DVBSQL02.poorman-douglas.net,Claims Matrix,DECOM,,
LVDC-EMS,DM21RLTVSQL01.DM21.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Lathrop01/ DM21/ PRIMARY
LVDC-EMS,DM22RELTSTSQL01.DM22.LOCAL,Relativity,NONPROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,DM22RELTSTSQL02.DM22.local,Relativity,NONPROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,DM54LAWSQL01.DM54.LOCAL,LAW,DECOM,BAEBusinessAppE@epiqglobal.com, 
LVDC-USCUST,P054SQLCI5102.USCUST.LOCAL\ECF,ECF (Epiq Court Filing),PROD, , 
LVDC-EMS,DM56LAWSQL01.DM56.LOCAL,LAW,DECOM,BAEBusinessAppE@epiqglobal.com, 
LVDC-Corp,P054SLWSQLS04.EPIQCORP.COM\SOLARWINDS,Solarwinds,PROD, , 
LVDC-Corp,ET016-DVITDEV1.EPIQCORP.COM,Unknown,NONPROD,,
LVDC-USCUST,P054SQLCI2201.USCUST.LOCAL\INTERCHANGE,Interchange,PROD, , 
LVDC-USCUST,P054EDXSQLS02.USCUST.LOCAL\EDMX,DMX,PROD, , 
LVDC-EMS,DM76VOSQL01.DM76.LOCAL,VenioOne,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-EMS,DM77RLTSQL01.DM77.LOCAL,Relativity,DECOM,,TASK0276916
UKDC,P064SQLCI0301.eucust.local\PORTAL,EpiqService,PROD, , 
LVDC-USCUST,P054ECASQLQ02.USCUST.LOCAL\ECAQA02,Claims Matrix,DECOM,DL_ECADataServicesManagement@epiqglobal.com,DECOM
LVDC-Corp,P054MCEMCORE01.EPIQCORP.COM,MS Configuration Endpoint Manager,Prod,ServerOperations@epiqglobal.com,Internal - Patching
LVDC-Corp,P054IBFROOT02.EPIQCORP.COM,BigFix,PROD, , 
DEDC,P063WCRELSQL01.eucust.local,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
UKDC,P064WCRELSQL01.eucust.local,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
TUDC,P077RL2ASQL02.client.dtiglobal.com\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel04
TUDC,P077RL1QSQL02.client.dtiglobal.com\DIST02,Relativity,PROD, , 
KADC,P082EDXSQLS02.CACUST.LOCAL\EDMX,DMX,PROD,DMX-Support@epiqglobal.com, 
TUDC,P077RL1OSQL02.client.dtiglobal.com\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Relativity49 (DTISEA09|Seattle)/ Rel 49/ DIST02
UKDC,P064EDXSQLS02.eucust.local\EDMX,DMX,PROD, , 
TUDC,P077RL2ASQL01.client.dtiglobal.com\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel04
LVDC-USCUST,P054ECASSRD01.USCUST.LOCAL\SSRSDEV,Claims Matrix,DECOM,DL_ECADataServicesManagement@epiqglobal.com,DECOM
TUDC,P077RL1ZSQL03.client.dtiglobal.com\DIST03,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-Corp,P054CRMSQLA02.EPIQCORP.COM\CRM,Dynamics,PROD, , 
LVDC-Corp,P054CRMSQLS01.EPIQCORP.COM\CRM,CRM,PROD, , 
LVDC-USCUST,P054DNFSQLS01.USCUST.LOCAL\DNF,EWF (Epiq Workflow),PROD,Mo Nasseri, 
LVDC-Corp,P054ECASQLS08.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLS09.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLS10.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLS11.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-USCUST,P054EDSSQLA01.USCUST.LOCAL\EDSSSRSPROD,EDS-SSRS,DECOM, ,CHG0070788
LVDC-USCUST,P054SQLCI1501.USCUST.LOCAL\NEXLP,NexLP,PROD,BAEBusinessAppE@epiqglobal.com, 
DEDC-Por,P063REL2TSQL01.PAG.EPQPORSCHE.DE\DIS01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-Corp,P054WFSQLCI0101.AMER.EPIQCORP.COM\SQL01,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
KADC,P060SMRELSQL02.CACUST.LOCAL\REL01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Stikeman
LVDC-ITAR,P054UOR2QSQLS02.HCUSCUST.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
SHDC,P056RELSQLS02.CHNCUST.LOCAL\REL01,Relativity,PROD,,Relativity2N (China)
LVDC-Corp,P054FACSQLA01.AMER.EPIQCORP.COM\ACTL,Access control,DECOM, ,DECOM
SHDC,SHZRLSQLDIST00\DIST00,Relativity,PROD,,Relativity(Huawei/Offline)
LVDC-USCUST,P054NLPSQLS01.USCUST.LOCAL,NexLP,PROD,BAEBusinessAppE@epiqglobal.com,
LVDC-Corp,P054WFSQLCI0201.AMER.EPIQCORP.COM\SQL01,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
TUDC,P077RL1ISQL02.client.dtiglobal.com\DIST02,Relativity,PROD, , 
TUDC,P077RL1QSQL03.client.dtiglobal.com\DIST03,Relativity,PROD, , 
TUDC,P077RL1ISQL01.client.dtiglobal.com\DIST01,Relativity,PROD, , 
TUDC,P077RL1ISQL04.client.dtiglobal.com\DIST04,Relativity,PROD, , 
TKDC,P053RL1MSQL01.APCUST.LOCAL\DIS01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
TKDC,P053RL1MSQL02.APCUST.LOCAL\DIS02,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-USCUST,P054ECASQLA01.USCUST.LOCAL\ECASSRSPROD,Claims Matrix,PROD,DL-ECADataServices@epiqglobal.com, 
LVDC-Corp,P054ECASQLP51.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLP53.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLP54.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLP55.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLP80.AMER.EPIQCORP.COM,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054ECASQLS14.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-USCUST,P054ETSRSDB01.USCUST.LOCAL\ETSSSRSPROD,ETS,PROD, , 
LVDC-USCUST,P054ETSSQLS01.USCUST.LOCAL\TNET,Tnet,PROD,Kevin Seals and Mark Duvall, 
LVDC-Ranger,P054FTCMXSQLP01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Ranger,P054FTCMXSQLS01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Corp,P054GRCSQLS01.EPIQCORP.COM\GRC,Archer/Corporate Compliance,PROD, , 
LVDC-Corp,P054IBFINVS01.EPIQCORP.COM,BigFix,PROD, , 
LVDC-USCUST,P054RL1BSQL01.USCUST.LOCAL\DIS01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL02.USCUST.LOCAL\DIS02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL03.USCUST.LOCAL\DIS03,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL04.USCUST.LOCAL\DIS04,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL05.USCUST.LOCAL\DIS05,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL06.USCUST.LOCAL\DIS06,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL07.USCUST.LOCAL\DIS07,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL08.USCUST.LOCAL\DIS08,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL09.USCUST.LOCAL\DIS09,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL10.USCUST.LOCAL\DIS10,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL11.USCUST.LOCAL\DIS11,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL12.USCUST.LOCAL\DIS12,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL13.USCUST.LOCAL\DIS13,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1BSQL14.USCUST.LOCAL\DIS14,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ DISTRIBUTED
LVDC-USCUST,P054RL1ESQL01.USCUST.LOCAL\DIS01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-USCUST,P054RL1ESQL02.USCUST.LOCAL\DIS02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-USCUST,P054RL1ESQL03.USCUST.LOCAL\DIS03,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-USCUST,P054RL1ESQL04.USCUST.LOCAL\DIS04,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-Corp,P054SQLCI0802.EPIQCORP.COM\SOLARWINDS,Solarwinds,DECOM, , 
LVDC-EMS,DM7LAWSQL01.DM07.LOCAL,LAW,DECOM,BAEBusinessAppE@epiqglobal.com, 
LVDC-EMS,DM7RLTVSQL01.DM07.LOCAL,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,DENTONS01/ DM07/ PRIMARY
LVDC-EMS,DM7RLTVSQL02.DM07.LOCAL,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,DENTONS01/ DM07/ INVARIANT
LVDC-EMS,DM8LAWSQL03.DM08.LOCAL,LAW,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-EMS,DM99VNOSQLT01.DM99.LOCAL,Venio,PROD-DECOM,BAEBusinessAppE@epiqglobal.com,
LVDC-EMS,IDSITSQL02.IDSP.LOCAL,Goanywhere,DECOM,BAEBusinessAppE@epiqglobal.com,Test GOA and Solarwinds Orian databases.
LVDC-EMS,IDSLEMSS02.IDSP.LOCAL,Unknown,PROD, , 
LVDC-USCUST,P054RL1ESQL05.USCUST.LOCAL\DIS05,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-USCUST,P054SQLCI6201.USCUST.LOCAL\AACER01,AACER,DECOM,AACEROperations@epiqglobal.com,
LVDC-EMS,IDSRDPSQL02.IDSP.LOCAL,RDS,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P05475CTXSQLS01.DM75.LOCAL,Citrix,DECOM,James Luhring, 
LVDC-GCG,CMH2020SQPRD.GCDOMAIN.LOCAL\PRD1,2020,PROD-DECOM,ECA_DataServicesLegacyTeam@epiqglobal.com,Legacy GCG
LVDC-GCG,CMHSQ02.GCDOMAIN.LOCAL\SQ02,CLASS,PROD-DECOM,ECA_DataServicesLegacyTeam@epiqglobal.com, 
LVDC-GCG,CMHSQ03.GCDOMAIN.LOCAL\SQ03,CLASS,PROD-DECOM,ECA_DataServicesLegacyTeam@epiqglobal.com, 
LVDC-EMS,P054ARQARLSQL00.RLTVARC.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054ARQARLSQL01.RLTVARC.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054ARQARLSQL02.RLTVARC.LOCAL\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-USCUST,P054SQLCI6202.USCUST.LOCAL\AACER03,AACER,DECOM,AACEROperations@epiqglobal.com,
LVDC-USCUST,P054ACRSQLS05.USCUST.LOCAL\AACERRECON,AACER,PROD,AACEROperations@epiqglobal.com,Recon server
LVDC-EMS,P054ARQARLSQL03.RLTVARC.LOCAL\DIST03,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054ARQARLSQL04.RLTVARC.LOCAL\DIST04,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054ARQARLSQL05.RLTVARC.LOCAL\DIST05,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054ARQARLSQL06.RLTVARC.LOCAL\DIST06,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-Corp,P054JIRSQLS01.AMER.EPIQCORP.COM\JIRA,Jira,DECOM,Rich Calano,RITM0219015
LVDC-USCUST,P054RL1ESQL06.USCUST.LOCAL\DIS06,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
DQS,L061EXTSQLB01.dqscust.local\EXTERRO,Exterro,NONPROD, , 
LVDC-USCUST,P054RL1ESQL07.USCUST.LOCAL\DIS07,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-USCUST,P054RL1ESQL08.USCUST.LOCAL\DIS08,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-ITAR,P054TRRELSQLS01.HCUSCUST.LOCAL\EDDS,Relativity,Decom,RTTRelativityTe@epiqglobal.com,Rel ITAR (Epiq ITAR)/ / EDDS
